STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-19,,72,69,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-20,,69,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-21,,80,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-22,,71,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-23,,75,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-24,,80,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-25,,81,72,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-26,,76,73,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-27,,84,75,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-28,,82,71,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-29,,78,71,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-30,,74,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-07-31,,76,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-01,,78,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-02,,76,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-03,,84,74,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-04,,78,69,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-05,,72,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-06,,67,56,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-07,,67,58,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-08,,75,57,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-09,,77,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-10,,80,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-11,,83,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-12,,81,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-13,,77,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-14,,79,68,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-15,,81,71,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-16,,76,68,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-17,,68,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-18,,72,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-19,,82,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-20,,93,72,
