Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
1020,23.7853,90.615283,45,Y,30196.88,0.06601,2460.57,37718.67,0.56057,55.26,18.12541,15.76,3847.52,0.67,33.2,171.62,0.0823,23.3008,6.8884,0.0101
1023,23.784767,90.61565,40,Y,32901.8,0.0983,2164.46,36361.25,0.54023,52.88,15.80461,16.25,3719.86,1.5,33.45,166.85,0.1407,13.3262,6.1189,0.0199
1027,23.78435,90.615733,45,Y,31338.28,0.09988,2203.91,32846.5,0.53366,46.58,12.18374,14,3432.43,1.48,52.05,148.53,0.1035,12.8335,6.3116,0.0071
1032,23.783967,90.614517,32,Y,32213.9,0.58054,2154.36,38625.9,5.83749,74.24,24.43871,14.99,3417.26,2.86,92.35,194.11,0.1196,25.216,5.8694,0.0406
1044,23.782417,90.614583,60,N,,,,,,,,,,,,,,,,
1052,23.780483,90.614283,45,Y,,,,,,,,,,,,,,,,
1058,23.780867,90.616067,30,Y,,,,,,,,,,,,,,,,
1072,23.7817,90.617283,45,N,28339.55,1.41973,815.62,19572.39,3.45956,42.2,10.01108,6.82,2259.64,0.51,55.75,94.8,0.1637,15.5585,2.0479,0.0187
1073,23.781733,90.61775,45,N,28208.23,1.1318,337.21,21885.2,4.02137,35.71,9.89581,10.24,2411.16,1.24,57.84,96.58,0.1324,11.4497,0.8954,0.0341
1076,23.781317,90.618417,45,Y,20169.16,0.09009,4841.11,26936.51,2.86841,43.31,16.14687,18.53,3563.1,1.63,14.16,113.28,0.066,31.6589,14.0818,0.0146
1096,23.77795,90.618167,45,Y,34405.56,0.66422,3466.28,39300.28,3.56056,108,30.1538,27.59,8230.09,2.79,154.69,133.42,0.1807,38.4574,9.7063,0.0275
1097,23.777167,90.617467,45,Y,,,,,,,,,,,,,,,,
1106,23.7784,90.618783,45,Y,30481,0.16029,8594.38,44475.7,0.38659,122.51,23.77519,25.19,6976.06,2.28,27.23,182.64,0.108,37.4938,24.0051,0.018
