STATION,NAME,DATE,DASF,MDSF,PRCP,SNOW
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-10,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-13,,,0.63,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-15,,,0.49,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-16,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-17,,,0.08,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-19,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-20,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-21,,,0.05,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-22,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-23,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-26,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-27,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-28,,,0.14,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-29,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-30,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-31,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-01,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-02,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-03,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-05,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-06,,,0.04,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-07,,,0.09,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-08,,,0.24,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-10,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-13,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-15,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-16,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-17,,,0.73,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-19,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-20,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-21,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-22,,,0.3,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-23,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-26,,,0.05,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-27,,,1.35,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-28,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-29,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-30,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-01,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-02,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-03,,,1.84,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-04,,,2.06,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-05,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-10,,,1.27,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-13,,,0.44,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-15,,,0.3,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-16,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-17,,,0,0
