Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
3898,23.47,90.71,37,Y,39097.92468,0.053272769,7896.412666,62628.13531,0.305083663,80.64539787,61.87407068,28.63374569,,0.876629494,4.347971226,174.1913119,0.2069,77.5613,22.7895,0.0384
3901,22.86,91.36,75,Y,47267.59708,0.180851271,9904.331086,67240.54313,3.170372502,154.8869683,71.35937908,43.49969472,,2.741101426,26.40045518,216.1490346,0.1376,149.8091,29.1066,0.0979
3908,24.36,90.9,45,Y,51076.56003,0.247523604,1718.216661,43347.03788,4.966609225,115.5389351,16.01832015,21.28253751,,1.929835335,116.7823669,221.3946613,0.1528,31.5506,4.7414,0.0303
3908,22.92,91.22,130,Y,,,,,,,,,,,,,0.1844,217.525,15.7114,0.1368
3916,23.56,90.41,80,Y,,,,,,,,,,,,,,,,
3950,23.7,90.82,130,N,28065.21086,3.872713852,103.7832301,8774.290876,1.31509069,15.93214974,76.0527045,15.19219818,1165.718481,0.051240184,115.792905,140.356429,0.7376,128.3843,0.221,0.4719
3952,24.03,89.73,40,Y,40688.42458,0.173378169,1288.890432,20722.70185,4.532367907,45.70144437,6.056137488,14.6555297,396.8431598,1.345935873,48.57148913,98.98928224,0.1371,9.9978,3.7928,0.0087
3956,23.83,90.77,50,Y,,,,,,,,,,,,,,,,
3956,24.73,91.19,30,Y,,,,,,,,,,,,,,,,
3962,23.72,90.02,45,Y,40442.94647,0.654952244,6353.586645,47118.98574,1.352667359,111.0976015,59.06539803,35.82473004,,0.839817971,1.997152132,93.99271826,0.0669,88.9704,,0.0854
3973,24.55,89.92,45,N,,,,,,,,,,,,,,,,
3990,23.36,90.23,45,Y,,,,,,,,,,,,,0.09,26.193,12.0475,0.0112
3997,22.92,91.07,0,Y,,,,,,,,,,,,,,,,
4010,24.16,90.94,45,Y,38849.06,0.19385,-3.7,44474.63,2.24846,41.57,10.33316,13.66,3360.21,0.78,39.09,166.1,0.212,10.2626,0.1649,0.0138
4010,23.92,90.59,60,Y,35647.47,1.14243,-37.62,43623.88,8.7691,104.44,19.82695,17.96,3090.81,1.21,42.71,191.76,0.1121,27.8696,0.1606,0.0301
4020,24.67,90.5,75,Y,44099.51062,0.462643626,11.23275724,42020.45348,2.83437547,70.457489,12.65768612,20.27355399,,0.936945649,63.93517425,117.844948,,,,
4037,24.54,89.99,60,Y,,,,,,,,,,,,,,,,
4044,24.5,90.73,120,Y,61740.85,0.21088,600.38,10258.07,12.17791,6.79,44.17081,5.66,1682.57,0.25,1.21,83.28,0.2965,26.4859,1.5414,0.1226
4053,24.45,90.24,45,N,32558.67,0.78005,412.64,25485.99,11.92895,80.33,12.41228,11.25,3627.2,2.81,67.46,132.56,0.1789,24.2589,1.004,0.0243
4062,23.8,91.39,180,Y,42371.47,0.18786,1.48,14691.52,1.22343,20.05,43.0738,6.08,1197.31,0.5,0.29,111.44,0.925,35.339,0.1266,0.0627
4082,23.01,90.18,45,Y,42407.07,0.29174,101.87,47139.21,8.67506,135.1,25.5398,20.76,3603.51,2.02,107.99,165.4,0.2241,21.9395,0.2554,0.0516
4083,23.85,90.64,60,Y,36131.18,0.09897,2895.29,36216.72,1.68901,51.58,18.11706,13.91,2750.43,1.72,29.07,116.1,0.1371,20.4566,8.0272,0.0165
4084,24.34,89.66,105,Y,,,,,,,,,,,,,,,,
4111,24.66,90.73,50,Y,,,,,,,,,,,,,,,,
4114,23.4,91.63,70,Y,,,,,,,,,,,,,,,,
4118,24.04,90.8,45,Y,,,,,,,,,,,,,,,,
4121,24.02,90.48,46,Y,,,,,,,,,,,,,,,,
4122,22.87,90.67,120,Y,61463.45239,0.092795826,638.2573753,13397.915,1.176493646,16.34412105,50.55303302,5.323261428,1316.392907,0.03177949,0.078230565,111.1321061,0.3932,31.8887,1.7,0.1225
